,Contrast,multiplier,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
0,multiplier,-,1.5,2.5,False,False,130.0,two-sided,1.304047222453771e-09,,,-1.9252369696083487
1,exp,-,1.0,2.0,False,False,180.0,two-sided,0.005622978249776828,0.016868934749330485,bonf,-0.7829375847951866
2,exp,-,1.0,3.0,False,False,476.0,two-sided,0.019182705222139787,0.05754811566641936,bonf,0.6868832178541013
3,exp,-,2.0,3.0,False,False,429.0,two-sided,6.751861322516494e-05,0.0002025558396754948,bonf,1.6016522058062033
4,multiplier * exp,1.5,1.0,2.0,False,False,34.0,two-sided,0.024669709460034658,0.14801825676020794,bonf,-1.148259778436367
5,multiplier * exp,1.5,1.0,3.0,False,False,110.0,two-sided,0.5804112384153828,1.0,bonf,0.24387983662847318
6,multiplier * exp,1.5,2.0,3.0,False,False,106.0,two-sided,0.012015003224274784,0.07209001934564871,bonf,1.3068526355180023
7,multiplier * exp,2.5,1.0,2.0,False,False,23.0,two-sided,0.0011750518530845068,0.007050311118507041,bonf,-1.5814977164274673
8,multiplier * exp,2.5,1.0,3.0,False,False,143.0,two-sided,0.00018095049043756288,0.0010857029426253773,bonf,2.1735167925621304
9,multiplier * exp,2.5,2.0,3.0,False,False,120.0,two-sided,8.733926588357827e-05,0.0005240355953014696,bonf,3.227034568626572
